profile,start,peak,end
1,2014-08-10 06:59:30,2014-08-10 06:59:40,2014-08-10 07:18:00
2,2014-08-10 07:40:10,2014-08-10 07:40:20,2014-08-10 07:58:40
3,2014-08-10 08:21:00,2014-08-10 08:21:10,2014-08-10 08:39:40
4,2014-08-10 09:02:00,2014-08-10 09:02:10,2014-08-10 09:20:40
5,2014-08-10 09:43:10,2014-08-10 09:43:20,2014-08-10 10:01:50
6,2014-08-10 10:24:30,2014-08-10 10:24:40,2014-08-10 10:43:20
7,2014-08-10 11:06:00,2014-08-10 11:06:10,2014-08-10 11:24:50
8,2014-08-10 11:47:20,2014-08-10 11:47:30,2014-08-10 12:06:20
9,2014-08-11 06:00:30,2014-08-11 06:00:40,2014-08-11 06:18:50
10,2014-08-11 18:00:30,2014-08-11 18:00:40,2014-08-11 18:18:50
11,2014-08-12 06:00:30,2014-08-12 06:00:40,2014-08-12 06:19:00
12,2014-08-12 18:00:30,2014-08-12 18:00:40,2014-08-12 18:19:00
13,2014-08-13 06:00:30,2014-08-13 06:00:40,2014-08-13 06:19:10
14,2014-08-13 18:00:30,2014-08-13 18:00:40,2014-08-13 18:19:00
15,2014-08-14 06:00:30,2014-08-14 06:00:40,2014-08-14 06:19:10
16,2014-08-14 18:00:30,2014-08-14 18:00:40,2014-08-14 18:19:10
17,2014-08-15 06:00:30,2014-08-15 06:00:40,2014-08-15 06:19:20
18,2014-08-15 18:00:30,2014-08-15 18:00:40,2014-08-15 18:19:10
19,2014-08-16 06:00:30,2014-08-16 06:00:40,2014-08-16 06:19:20
20,2014-08-16 18:00:30,2014-08-16 18:00:40,2014-08-16 18:19:10
21,2014-08-17 06:00:30,2014-08-17 06:00:40,2014-08-17 06:19:10
22,2014-08-17 18:00:30,2014-08-17 18:00:40,2014-08-17 18:19:00
23,2014-08-18 06:00:30,2014-08-18 06:00:40,2014-08-18 06:19:10
24,2014-08-18 18:00:30,2014-08-18 18:00:40,2014-08-18 18:19:00
25,2014-08-19 06:00:30,2014-08-19 06:00:40,2014-08-19 06:19:10
26,2014-08-19 18:00:30,2014-08-19 18:00:40,2014-08-19 18:19:00
27,2014-08-20 06:00:30,2014-08-20 06:00:40,2014-08-20 06:19:00
28,2014-08-20 18:00:30,2014-08-20 18:00:40,2014-08-20 18:18:50
29,2014-08-21 06:00:30,2014-08-21 06:00:40,2014-08-21 06:19:00
30,2014-08-21 18:00:30,2014-08-21 18:00:40,2014-08-21 18:19:00
31,2014-08-22 06:00:30,2014-08-22 06:00:40,2014-08-22 06:19:00
32,2014-08-22 18:00:30,2014-08-22 18:00:40,2014-08-22 18:18:50
33,2014-08-23 06:00:30,2014-08-23 06:00:40,2014-08-23 06:18:50
34,2014-08-23 18:00:30,2014-08-23 18:00:40,2014-08-23 18:18:50
35,2014-08-24 06:00:30,2014-08-24 06:00:40,2014-08-24 06:18:50
36,2014-08-24 18:00:30,2014-08-24 18:00:40,2014-08-24 18:19:00
37,2014-08-25 06:00:30,2014-08-25 06:00:40,2014-08-25 06:19:00
38,2014-08-25 18:00:30,2014-08-25 18:00:40,2014-08-25 18:19:00
39,2014-08-26 06:00:30,2014-08-26 06:00:40,2014-08-26 06:19:00
40,2014-09-04 21:00:10,2014-09-04 21:21:40,2014-09-04 22:42:30
41,2014-09-04 22:44:20,2014-09-05 00:12:40,2014-09-05 01:32:30
42,2014-09-05 01:34:20,2014-09-05 03:03:20,2014-09-05 04:22:50
43,2014-09-05 05:40:50,2014-09-05 05:54:10,2014-09-05 06:26:10
44,2014-09-05 08:08:50,2014-09-05 08:46:00,2014-09-05 11:15:20
45,2014-09-05 13:19:00,2014-09-05 13:57:10,2014-09-05 15:17:00
46,2014-09-05 16:47:30,2014-09-05 16:53:40,2014-09-05 18:13:40
47,2014-09-05 19:38:50,2014-09-05 19:51:10,2014-09-05 21:11:20
48,2014-09-05 22:41:20,2014-09-05 22:50:50,2014-09-06 00:11:00
49,2014-09-06 01:31:10,2014-09-06 01:31:20,2014-09-06 01:31:40
50,2014-09-06 01:45:30,2014-09-06 01:51:00,2014-09-06 04:19:50
51,2014-09-06 06:53:10,2014-09-06 06:53:20,2014-09-06 06:53:40
52,2014-09-06 07:10:20,2014-09-06 07:15:50,2014-09-06 08:36:10
53,2014-09-06 10:10:20,2014-09-06 10:15:20,2014-09-06 11:36:00
54,2014-09-06 13:17:10,2014-09-06 13:17:20,2014-09-06 13:17:40
55,2014-09-06 16:08:00,2014-09-06 16:08:10,2014-09-06 16:08:30
56,2014-09-06 16:28:00,2014-09-06 16:34:00,2014-09-06 17:54:10
57,2014-09-06 19:05:10,2014-09-06 19:05:20,2014-09-06 19:05:40
58,2014-09-07 00:04:00,2014-09-07 00:04:10,2014-09-07 00:04:20
59,2014-09-07 00:21:00,2014-09-07 00:21:10,2014-09-07 00:21:30
60,2014-09-07 02:57:40,2014-09-07 02:57:50,2014-09-07 02:58:00
61,2014-09-07 03:03:20,2014-09-07 03:03:30,2014-09-07 03:03:50
62,2014-09-07 05:22:10,2014-09-07 05:22:20,2014-09-07 05:22:30
63,2014-09-07 05:27:20,2014-09-07 05:27:30,2014-09-07 05:27:50
64,2014-09-07 05:37:50,2014-09-07 05:38:00,2014-09-07 05:38:20
65,2014-09-07 08:12:00,2014-09-07 08:12:10,2014-09-07 08:12:30
66,2014-09-07 08:39:20,2014-09-07 08:39:30,2014-09-07 09:52:50
67,2014-09-07 11:12:50,2014-09-07 11:13:00,2014-09-07 11:13:20
68,2014-09-07 15:55:40,2014-09-07 15:55:50,2014-09-07 15:56:10
69,2014-09-07 18:22:00,2014-09-07 18:22:10,2014-09-07 18:22:30
70,2014-09-07 21:00:00,2014-09-07 21:00:10,2014-09-07 21:00:30
71,2014-09-07 23:40:10,2014-09-07 23:40:20,2014-09-07 23:40:30
72,2014-09-08 02:21:10,2014-09-08 02:21:20,2014-09-08 02:21:40
73,2014-09-08 02:25:00,2014-09-08 02:25:10,2014-09-08 02:25:30
74,2014-09-08 02:32:40,2014-09-08 02:32:50,2014-09-08 02:33:10
75,2014-09-18 20:57:40,2014-09-18 20:57:50,2014-09-18 20:58:10
76,2014-09-18 21:30:00,2014-09-18 21:30:10,2014-09-18 21:30:30
77,2014-09-19 00:18:40,2014-09-19 00:18:50,2014-09-19 00:19:10
78,2014-09-19 02:51:20,2014-09-19 02:51:30,2014-09-19 02:51:50
79,2014-09-19 03:14:20,2014-09-19 03:14:30,2014-09-19 03:14:40
