profiler,indexFile,pressureVariable,zarrFile,gc_thredds_dir
CE04OSPS,CE04OSPS_profiles.csv,seawater_pressure,ooi-data/CE04OSPS-SF01B-2A-CTDPFA107-streamed-ctdpf_sbe43_sample,nothingYet
RS01SBPS,RS01SBPS_profiles.csv,seawater_pressure,ooi-data/RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample,nothingYet
RS03AXPS,RS03AXPS_profiles.csv,seawater_pressure,ooi-data/RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample,nothingYet
