profile,start,peak,end
1948,2023-01-01 01:45:40,2023-01-01 02:32:10,2023-01-01 02:53:10
1949,2023-01-01 13:45:40,2023-01-01 14:30:50,2023-01-01 14:53:10
1950,2023-01-02 01:45:40,2023-01-02 02:31:20,2023-01-02 02:53:10
1951,2023-01-04 02:22:50,2023-01-04 03:07:10,2023-01-04 03:30:10
1952,2023-01-04 14:22:50,2023-01-04 15:07:40,2023-01-04 15:30:10
1953,2023-01-05 02:22:50,2023-01-05 03:09:00,2023-01-05 03:30:20
1954,2023-01-05 14:22:50,2023-01-05 15:08:00,2023-01-05 15:30:20
1955,2023-01-06 02:22:40,2023-01-06 03:07:00,2023-01-06 03:30:10
1956,2023-01-06 14:22:50,2023-01-06 15:06:30,2023-01-06 15:30:10
1957,2023-01-07 14:22:40,2023-01-07 15:06:40,2023-01-07 15:30:10
1958,2023-01-08 02:22:40,2023-01-08 03:07:50,2023-01-08 03:30:10
1959,2023-01-08 14:22:50,2023-01-08 15:07:30,2023-01-08 15:30:20
1960,2023-01-09 02:22:50,2023-01-09 03:07:50,2023-01-09 03:30:20
1961,2023-01-09 14:22:50,2023-01-09 15:06:30,2023-01-09 15:30:10
1962,2023-01-10 02:23:00,2023-01-10 03:07:40,2023-01-10 03:30:30
1963,2023-01-10 14:22:50,2023-01-10 15:07:30,2023-01-10 15:30:10
1964,2023-01-11 02:22:40,2023-01-11 03:08:00,2023-01-11 03:30:10
1965,2023-01-11 14:22:50,2023-01-11 15:06:50,2023-01-11 15:30:20
1966,2023-01-13 14:22:40,2023-01-13 15:07:10,2023-01-13 15:30:10
1967,2023-01-14 02:22:50,2023-01-14 03:07:40,2023-01-14 03:30:20
1968,2023-01-14 14:22:50,2023-01-14 15:07:00,2023-01-14 15:30:20
1969,2023-01-15 02:22:50,2023-01-15 03:06:50,2023-01-15 03:30:10
1970,2023-01-15 14:22:40,2023-01-15 15:07:10,2023-01-15 15:30:10
1971,2023-01-16 14:22:50,2023-01-16 15:07:20,2023-01-16 15:30:20
1972,2023-01-17 02:22:50,2023-01-17 03:07:00,2023-01-17 03:30:10
1973,2023-01-18 02:22:50,2023-01-18 03:07:20,2023-01-18 03:30:20
1974,2023-01-18 14:12:40,2023-01-18 14:12:50,2023-01-18 14:27:00
1975,2023-09-13 00:01:10,2023-09-13 02:20:30,2023-09-13 04:40:30
1976,2023-09-13 12:01:10,2023-09-13 14:23:20,2023-09-13 16:45:20
1977,2023-09-14 00:01:10,2023-09-14 02:24:50,2023-09-14 04:49:00
1978,2023-09-14 12:01:20,2023-09-14 14:27:20,2023-09-14 16:53:20
1979,2023-09-15 00:01:10,2023-09-15 02:19:50,2023-09-15 04:39:00
1980,2023-09-15 12:01:10,2023-09-15 14:22:40,2023-09-15 16:43:30
1981,2023-09-16 00:01:10,2023-09-16 02:24:20,2023-09-16 04:47:30
1982,2023-09-16 12:01:10,2023-09-16 14:27:00,2023-09-16 16:51:00
1983,2023-09-17 00:01:10,2023-09-17 02:27:40,2023-09-17 04:55:30
1984,2023-09-17 12:01:10,2023-09-17 14:19:40,2023-09-17 16:38:10
1985,2023-09-18 00:01:10,2023-09-18 02:21:30,2023-09-18 04:42:40
1986,2023-09-18 12:01:10,2023-09-18 14:24:20,2023-09-18 16:48:00
1987,2023-09-19 00:01:10,2023-09-19 02:26:20,2023-09-19 04:51:10
1988,2023-09-19 12:01:10,2023-09-19 14:28:00,2023-09-19 16:57:10
1989,2023-09-20 00:01:10,2023-09-20 02:19:40,2023-09-20 04:38:00
1990,2023-09-20 12:01:10,2023-09-20 14:20:00,2023-09-20 16:40:40
1991,2023-09-21 00:01:10,2023-09-21 02:23:10,2023-09-21 04:45:30
1992,2023-09-21 12:01:10,2023-09-21 14:26:10,2023-09-21 16:49:20
1993,2023-09-22 00:01:10,2023-09-22 02:26:30,2023-09-22 04:53:40
1994,2023-09-22 12:01:10,2023-09-22 14:19:00,2023-09-22 16:37:20
1995,2023-09-23 00:01:10,2023-09-23 02:21:10,2023-09-23 04:41:40
1996,2023-09-23 12:01:10,2023-09-23 14:24:20,2023-09-23 16:46:20
1997,2023-09-24 00:01:10,2023-09-24 02:25:00,2023-09-24 04:48:50
1998,2023-09-24 12:01:10,2023-09-24 14:30:50,2023-09-24 16:58:10
1999,2023-09-25 00:01:10,2023-09-25 02:17:50,2023-09-25 04:35:00
2000,2023-09-25 12:01:10,2023-09-25 14:21:00,2023-09-25 16:40:30
2001,2023-09-26 00:01:10,2023-09-26 02:23:00,2023-09-26 04:44:10
2002,2023-09-26 12:01:10,2023-09-26 14:24:00,2023-09-26 16:47:20
2003,2023-09-27 00:01:10,2023-09-27 02:27:30,2023-09-27 04:55:40
2004,2023-09-27 12:01:10,2023-09-27 14:21:20,2023-09-27 16:41:00
2005,2023-09-28 00:01:10,2023-09-28 02:23:20,2023-09-28 04:43:00
2006,2023-09-28 12:04:40,2023-09-28 14:27:00,2023-09-28 16:48:00
2007,2023-09-29 00:01:10,2023-09-29 02:25:10,2023-09-29 04:50:30
2008,2023-09-29 12:01:10,2023-09-29 14:30:30,2023-09-29 16:59:20
2009,2023-09-30 00:01:10,2023-09-30 02:18:50,2023-09-30 04:36:30
2010,2023-09-30 12:01:10,2023-09-30 14:24:20,2023-09-30 16:44:30
2011,2023-10-01 00:01:10,2023-10-01 02:24:20,2023-10-01 04:48:10
2012,2023-10-01 12:01:10,2023-10-01 14:26:00,2023-10-01 16:50:10
2013,2023-10-02 00:01:10,2023-10-02 02:31:50,2023-10-02 05:00:00
2014,2023-10-02 12:01:10,2023-10-02 14:27:00,2023-10-02 16:45:00
2015,2023-10-03 00:01:10,2023-10-03 02:22:20,2023-10-03 04:43:50
2016,2023-10-03 12:01:10,2023-10-03 14:27:20,2023-10-03 16:52:20
2017,2023-10-04 00:01:10,2023-10-04 02:28:40,2023-10-04 04:53:40
2018,2023-10-04 12:01:10,2023-10-04 14:28:10,2023-10-04 16:56:20
2019,2023-10-05 00:01:10,2023-10-05 02:19:00,2023-10-05 04:36:40
2020,2023-10-05 12:02:30,2023-10-05 14:24:40,2023-10-05 16:45:30
2021,2023-10-06 00:01:10,2023-10-06 02:22:10,2023-10-06 04:41:40
2022,2023-10-06 12:02:10,2023-10-06 14:24:40,2023-10-06 16:47:00
2023,2023-10-07 00:01:10,2023-10-07 02:26:00,2023-10-07 04:50:50
2024,2023-10-07 12:01:40,2023-10-07 14:20:50,2023-10-07 16:39:30
2025,2023-10-08 00:01:10,2023-10-08 02:18:40,2023-10-08 04:36:00
2026,2023-10-08 12:01:10,2023-10-08 14:21:20,2023-10-08 16:41:00
2027,2023-10-09 16:03:50,2023-10-09 16:04:00,2023-10-09 16:06:20
2028,2023-10-09 16:09:00,2023-10-09 16:09:10,2023-10-09 16:10:50
2029,2023-10-10 00:01:10,2023-10-10 02:25:20,2023-10-10 04:50:00
2030,2023-10-10 12:01:10,2023-10-10 14:29:40,2023-10-10 16:54:20
