profile,start,peak,end
3483,2023-09-22 10:01:30,2023-09-22 10:26:00,2023-09-22 10:49:20
3484,2023-09-22 12:01:30,2023-09-22 12:25:50,2023-09-22 12:49:00
3485,2023-09-22 14:01:30,2023-09-22 14:26:00,2023-09-22 14:49:20
3486,2023-09-22 16:02:30,2023-09-22 16:27:00,2023-09-22 16:50:10
3487,2023-09-22 18:01:30,2023-09-22 18:26:00,2023-09-22 18:49:20
3488,2023-09-22 20:01:30,2023-09-22 20:26:10,2023-09-22 20:49:40
3489,2023-09-22 22:01:30,2023-09-22 22:26:30,2023-09-22 22:50:00
3490,2023-09-23 00:01:30,2023-09-23 00:26:20,2023-09-23 00:49:50
3491,2023-09-23 02:01:30,2023-09-23 02:26:20,2023-09-23 02:49:50
3492,2023-09-23 04:01:30,2023-09-23 04:26:20,2023-09-23 04:49:50
3493,2023-09-23 06:01:30,2023-09-23 06:26:20,2023-09-23 06:50:00
3494,2023-09-23 08:01:40,2023-09-23 08:26:40,2023-09-23 08:50:20
3495,2023-09-23 10:01:40,2023-09-23 10:26:50,2023-09-23 10:50:40
3496,2023-09-23 12:01:40,2023-09-23 12:26:50,2023-09-23 12:50:30
3497,2023-09-23 14:01:30,2023-09-23 14:26:50,2023-09-23 14:50:40
3498,2023-09-23 16:01:40,2023-09-23 16:26:50,2023-09-23 16:50:50
3499,2023-09-23 18:01:30,2023-09-23 18:27:00,2023-09-23 18:51:00
3500,2023-09-23 20:01:30,2023-09-23 20:27:10,2023-09-23 20:51:20
3501,2023-09-23 22:01:30,2023-09-23 22:27:20,2023-09-23 22:51:40
3502,2023-09-24 00:01:30,2023-09-24 00:27:20,2023-09-24 00:51:40
3503,2023-09-24 02:01:30,2023-09-24 02:27:20,2023-09-24 02:51:40
3504,2023-09-24 04:01:40,2023-09-24 04:27:20,2023-09-24 04:51:30
3505,2023-09-24 06:01:30,2023-09-24 06:26:50,2023-09-24 06:50:50
3506,2023-09-24 08:01:30,2023-09-24 08:26:40,2023-09-24 08:50:20
3507,2023-09-24 10:01:30,2023-09-24 10:26:30,2023-09-24 10:50:00
3508,2023-09-24 12:01:30,2023-09-24 12:26:10,2023-09-24 12:49:30
3509,2023-09-24 14:01:30,2023-09-24 14:26:10,2023-09-24 14:49:20
3510,2023-09-24 16:01:30,2023-09-24 16:26:10,2023-09-24 16:49:20
3511,2023-09-24 18:01:30,2023-09-24 18:26:10,2023-09-24 18:49:30
3512,2023-09-24 20:01:30,2023-09-24 20:26:10,2023-09-24 20:49:30
3513,2023-09-24 22:01:40,2023-09-24 22:26:30,2023-09-24 22:50:10
3514,2023-09-25 00:01:30,2023-09-25 00:26:20,2023-09-25 00:50:00
3515,2023-09-25 02:01:40,2023-09-25 02:26:40,2023-09-25 02:50:10
3516,2023-09-25 04:01:30,2023-09-25 04:26:40,2023-09-25 04:50:20
3517,2023-09-25 06:01:30,2023-09-25 06:26:30,2023-09-25 06:50:10
3518,2023-09-25 08:01:30,2023-09-25 08:26:30,2023-09-25 08:50:10
3519,2023-09-25 10:01:30,2023-09-25 10:26:40,2023-09-25 10:50:20
3520,2023-09-25 12:01:30,2023-09-25 12:26:40,2023-09-25 12:50:40
3521,2023-09-25 14:01:30,2023-09-25 14:26:50,2023-09-25 14:50:50
3522,2023-09-25 16:01:30,2023-09-25 16:27:00,2023-09-25 16:51:00
3523,2023-09-25 18:01:30,2023-09-25 18:27:10,2023-09-25 18:51:20
3524,2023-09-25 20:01:30,2023-09-25 20:27:10,2023-09-25 20:51:30
3525,2023-09-25 22:01:30,2023-09-25 22:27:20,2023-09-25 22:51:30
3526,2023-09-26 00:01:40,2023-09-26 00:27:40,2023-09-26 00:52:20
3527,2023-09-26 02:01:30,2023-09-26 02:27:40,2023-09-26 02:52:10
3528,2023-09-26 04:01:30,2023-09-26 04:27:30,2023-09-26 04:52:00
3529,2023-09-26 06:01:30,2023-09-26 06:27:00,2023-09-26 06:51:00
3530,2023-09-26 08:01:30,2023-09-26 08:26:40,2023-09-26 08:50:30
3531,2023-09-26 10:01:30,2023-09-26 10:26:30,2023-09-26 10:50:00
3532,2023-09-26 12:01:30,2023-09-26 12:26:30,2023-09-26 12:50:10
3533,2023-09-26 14:01:30,2023-09-26 14:26:30,2023-09-26 14:50:20
3534,2023-09-26 16:01:30,2023-09-26 16:26:40,2023-09-26 16:50:30
3535,2023-09-26 18:02:30,2023-09-26 18:27:20,2023-09-26 18:50:50
3536,2023-09-26 20:11:50,2023-09-26 20:29:00,2023-09-26 20:52:30
3537,2023-09-26 22:01:40,2023-09-26 22:26:40,2023-09-26 22:50:10
3538,2023-09-27 00:01:30,2023-09-27 00:26:40,2023-09-27 00:50:20
3539,2023-09-27 02:01:30,2023-09-27 02:27:00,2023-09-27 02:50:50
3540,2023-09-27 04:01:30,2023-09-27 04:27:10,2023-09-27 04:51:20
3541,2023-09-27 06:01:40,2023-09-27 06:27:10,2023-09-27 06:51:10
3542,2023-09-27 08:01:30,2023-09-27 08:26:50,2023-09-27 08:50:50
3543,2023-09-27 10:01:40,2023-09-27 10:27:00,2023-09-27 10:50:50
3544,2023-09-27 12:01:40,2023-09-27 12:27:20,2023-09-27 12:51:30
3545,2023-09-27 14:01:30,2023-09-27 14:27:30,2023-09-27 14:52:00
3546,2023-09-27 16:01:30,2023-09-27 16:27:40,2023-09-27 16:52:10
3547,2023-09-27 18:01:40,2023-09-27 18:27:20,2023-09-27 18:51:40
3548,2023-09-27 20:01:30,2023-09-27 20:27:10,2023-09-27 20:51:20
3549,2023-09-27 22:01:30,2023-09-27 22:27:20,2023-09-27 22:51:30
3550,2023-09-28 00:01:30,2023-09-28 00:27:40,2023-09-28 00:52:10
3551,2023-09-28 02:01:30,2023-09-28 02:28:10,2023-09-28 02:53:20
3552,2023-09-28 04:01:40,2023-09-28 04:28:30,2023-09-28 04:53:40
3553,2023-09-28 06:01:30,2023-09-28 06:27:30,2023-09-28 06:51:40
3554,2023-09-28 08:11:50,2023-09-28 08:29:30,2023-09-28 08:53:30
3555,2023-09-28 10:01:30,2023-09-28 10:26:50,2023-09-28 10:50:20
3556,2023-09-28 12:01:30,2023-09-28 12:26:30,2023-09-28 12:50:00
3557,2023-09-28 14:01:40,2023-09-28 14:26:40,2023-09-28 14:50:20
3558,2023-09-28 16:01:40,2023-09-28 16:27:00,2023-09-28 16:50:50
